formula,target
NiO,9.62
LaO3Sc,6.13
K3P,198.85
AuLiS,4.68
GeMg2O4,796.79
O4SnSr2,254.63
C,400.03
Ba2O3Zn,186.38
BaO2,16.55
LaRbSe2,0.17
O3SnSr,356.85
BaN8Si6,13.15
Au6Rb4S5,21.05
GaK6Na3Sb4,120.97
Ga2HgTe4,731.12
SCd,1054.04
HgS,2.0
MnRb2Te2,32.21
Ag2HgSe4Sn,1736.03
S2Sr,19.64
GeNa2O5Ti,1.58
O2Si,41.92
CrS2Li,4.61
BaO9Si3Sn,128.05
N4Si3,139.3
Al2CaO4,52.12
InNaTe2,146.74
Ga2O4Zn,2061.26
O2Si,25.85
Si,48.19
AsSi,2.9
K2O2,8.22
K3S4Sb,3.64
As2GaK2Na,606.91
In2Te5,4.69
La2O7Zr2,315.25
O2Ti,50.29
O7Si2Sr2Zn,205.07
Te2AlCu,996.78
Au3K3Sb2,16.3
IAg,89.44
MgN2Si,965.37
In5S6Tl,2.27
STl,10.55
Se3SrZr,15.11
Se3Zr,0.78
GeMg2O4,823.29
CsK5S17Sn5Zn4,2.25
Na2Pt4Se6,41.57
MgP2Si,149.83
Na6S4Zn,167.61
Cs4S14Ti3,1.73
Cd2Na14O9,230.26
Ba2GeS4,7.44
CdGa2O4,2450.9
BaGa2Se4,40.97
Mo3NaSe3,5.86
La2O3,4.4
O3SrZr,36.6
Al6O16Sr4W,112.4
SZn,850.77
CrSe,2.76
GeO3Pb,26.91
B2Na2S5,2.85
K2O3Sn2,13.11
BaO,30.14
AlLaO3,0.24
SbZnLi,323.07
MgTe,56.45
IrSe2,40.38
In2Rb4S5,31.79
BS3Tl,2.68
Rb2Te,42.16
PtSeSi,867.58
Na6O5Pb,186.09
SnSe,205.15
Ga4O8Ti,92.48
BaCaSi,59.28
AsNa3,2343.21
As2Si,6.71
Ca6GaN5,204.54
AgTe2Y,17.02
O2Si,32.17
Al2Na6Te6,3.77
NaS2Y,14.4
BaP10,0.82
BaO9Ti4,3.25
GeS2Tl,2.6
K4S11Ta2,3.63
IAg,55.54
BaO3Ti,39.92
Rb2Se5,0.89
HgK2S2,5.38
Na2C2Pt,139.72
S4SnSr2,22.41
O7Pb4Rb2,4.51
GaK2NaP2,276.34
Ag3RbSe2,456.82
IZrN,0.13
As2K4Zn,60.46
AuLi3S2,9.79
K2O9Si3Sn,86.59
K3Sb,238.1
OCu2,41.29
BeLa3S7Sb,4.41
HfO3Sr,113.06
AuNaSe2,1.58
La2S3,30.03
SnO2,3860.25
SiCGaN,209.16
AuK2Sb,14.06
Cs3S4Ta,1.62
Bi2O3,0.93
InO3Y,411.06
Ga2S4Zn,466.55
CrGaSe3,2.14
PCa3N,51.95
O3SnSr,612.85
Na2O2Zn,338.59
O2Si,12.22
CdS4Sc2,8.53
CrS2Cu,12.23
S2Ti,0.18
STe2Bi2,148.75
K2Br4Pd,0.9
BaO3Pb,38.47
BaCu2Se2,17.22
AsKZn,834.83
Ca3Ga2N4,1066.58
BaN6,1.34
CaO5SiTi,2.9
BiRbS2,5.19
S2Zn,35.03
K2O9Si3Ti,0.49
BeGaLa3S7,11.74
NaPZn,56.68
InNa5O4,217.05
I4Ti,0.02
BaCdO2,407.4
CaTe,27.32
NaS,21.66
K2As2Pt,7.6
Al2Ca2O7Si,225.38
LaO3Y,2.63
Ba3O5Si,1.87
O10Sr4Ti3,45.34
S4Sc2Sr,28.91
As2CdSr2,996.72
O2RbSc,47.81
BaIn2Te4,47.17
Ga4GeO8,1441.36
YTe2Ag,15.97
GeO5Pb3,8.16
CaP3,18.61
K2La2O10Ti3,21.11
Bi3CsS5,8.18
Cd2O4Si,1077.89
AgKSe,317.56
NaO6ScSi2,138.38
Ba2BiInS5,4.69
O3SrTi,34.03
In2Sb6Sr5,15.01
Ag2K2Se4Sn,121.08
S3SrZr,20.97
S2Ti,0.17
GeSe4Cu2Cd,3447.16
GeO5Pb3,2.04
Rb2S4Zn3,131.93
In2S4Zn,300.38
S2BaCu2,40.41
Mo2S3,3.96
AlCuTe2,1058.06
BaO5Ti2,14.79
O2Si,106.98
PbSe,518.81
O2Si,15.27
BBaS4Sb,13.89
BaO5Ti2,15.04
Cr5KSe8,0.64
GaS,6.88
O9Si3Sr3,96.43
SeSr,30.37
Pd3Rb2Se4,0.59
As4Na8Ti,10.18
Na2S4,0.32
Ge2Hg3K2S8,35.37
Ge2K2PbS6,0.57
CdP2Si,118.22
AlLaO3,0.18
Ag2BaSe4Sn,140.46
S4Tl4Zr,1.7
O2Si,595.55
Ca2O6PdW,39.52
BaSe2,25.97
Na2CuP,29.2
Cu2MnSe4Sn,646.7
O2Si,95.8
ZnAs2Si,2258.35
BaS4Y2,35.7
S4CoGa2,0.09
PbS,449.44
KN3,1.53
Mo3NaTe3,1.71
FeGa2Se4,233.74
La4O12Ti3,1.69
CrSi2,23.99
Al2S4Sr,45.52
KLiS,3.45
CrS2Ag,29.2
KNaO,122.93
K2S7Sb4,3.54
ISbMnSe2,13.87
MnSc2Se4,36.55
SbS2MnBr,7.31
Cu2Se4SnZn,2547.04
S2Sn,0.32
AlKO8Si3,99.39
HgKS3Sb,4.75
B2Cs2S4,2.57
AgAlTe2,749.17
CaRbSb,85.05
SSn,87.43
AlNaO4Si,126.49
SbLi3,60.38
HgNa4P2,138.06
HgK6Se4,43.86
BaO3Ti,68.95
Ba2Si4,7.2
KO2Sc,26.02
O2Si,106.82
AsCd,97.44
Ge2La2O7,161.39
Si,138.81
Al2MgO4,1269.68
Se,3.76
PSr,43.55
ZrSnPd,43.29
Ga2MnSe4,465.8
O2Si,106.02
Rb2S,40.87
P2Zn,6.5
Ga2GeLi2S6,3.51
Fe2RbTe3,0.1
O2Ti,15.92
Rb4Sb4,11.67
BaCdS2,106.93
Rb4Se6Sn2,7.24
NY,75.6
OSiSr3,70.65
O2Si,160.15
As2Ca2Cd,689.4
As2Te3,272.46
Ge2In2O7,1510.08
BrAg,278.5
S4ZnCu2Sn,1137.64
GaInSe3,477.39
CaC2,35.73
Ba2S4Zr,24.05
BiCsS4Si,7.4
Ca5In2Sb6,16.98
Cu2FeSe4Si,4.94
C,1471.85
AlO2Rb,177.17
Na2O7Si2Zn2,161.38
Ge2NaO6Sc,155.83
Na4O4Sn,140.2
HfO3Sr,97.01
BaHgS4Sn,54.96
Bi2Ga2In4S12,7.53
AlLaO3,0.18
As2PtRb2,5.78
BN,1298.92
SbBaLi,19.82
RuAs2,60.3
CdO3Ti,35.21
As2Ba2Zn,14.36
PdSe,225.71
O2SrZn,464.53
AlK6Na3Sb4,143.04
CdSe4Y2,447.79
GeO4Sr2,262.72
RbTe2Y,8.58
GeNa4O4,125.69
SSr,31.76
AlO3Y,19.14
Mg3Sb2,199.38
K2PdTe2,5.18
LaN,99.26
CuLa3Se7Si,3.95
GeLi2PbS4,9.86
SbZn,1316.16
Ca3O5Si,210.11
Ge2O7Sr2Zn,231.54
CsNaS,2.61
Al2K6O6,65.41
KMgSb,56.03
AlLaO3,0.18
BaGe3O9Sn,238.72
SPt,23.53
As3Ba3In,17.47
LaS2,88.66
AlCuO2,128.19
CSn,5480.39
InSe,29.81
BRb3S3,1.81
BaO4Y2,55.43
SZr2N2,93.81
Au2S,128.78
BaTe4Y2,25.21
S3Y2,113.38
CaO3Si,949.99
GeS2,1.99
AuLiS,4.68
C,2186.41
AgMo3Se3,2.77
LiS2Y,16.97
CuNaSe3Zr,3.66
S4Pd3Rb2,1.04
Ba2SiTe4,2.64
Al7S12Tl3,7.72
Rb2Te,43.02
K6MgO4,35.84
CuFeSe2,1.58
Ca2Si,75.59
GeAlLi,128.13
P3Sr,24.51
CrSe,3.34
PbS,648.8
MgO2,0.78
LaSe2,56.95
Pb2S4Si,2.49
CaMg2Sb2,36.23
NaPSn,79.59
O2Ti,3.21
RuC,115.85
In2S7Sn3,20.77
RbSc5Te8,17.32
PdRb2Se2,4.02
As6Ca5Sn2,304.0
S3Y2,16.36
S4Br2Bi3Ag,6.8
CaO3Ti,42.86
Na4O4Ti,51.47
GeAs2Cd,2215.14
K2P2Si,8.83
Na2O2,15.0
Te2GaLi,359.15
BiK3,473.54
Ge2In2O7,1797.53
GeK4O4,79.11
MgGeAs2,2590.31
S3SnTl2,3.15
NbSe2,0.06
RbSe2V,0.39
B2S6Sr3,17.41
GeO2,78.05
FeSi,1.08
KO2Y,114.3
CdIn2Se4,614.0
GeTe,128.27
Ca2O6SiTi,14.99
MgS,161.45
GeKLaS4,0.48
SnPtTi,13.97
GeMnO3,0.59
Na2S2,21.66
In2O3,6258.53
SrPLi,8.44
GeO3Sr,99.48
Ag2In2Se6Si,328.04
O4SiSr2,256.93
